iter	Passed	Remaining
0	0	73
1	1	78
2	2	72
3	3	76
4	3	72
5	4	73
6	5	73
7	6	75
8	7	74
9	8	72
10	8	72
11	9	71
12	10	70
13	11	68
14	11	67
15	12	65
16	13	63
17	13	62
18	14	60
19	14	59
20	15	58
21	16	56
22	16	55
23	17	54
24	17	53
25	18	52
26	19	52
27	20	51
28	20	51
29	21	50
30	22	50
31	23	50
32	24	49
33	25	48
34	25	48
35	26	47
36	27	46
37	27	45
38	28	45
39	29	44
40	30	43
41	30	42
42	31	41
43	31	40
44	32	39
45	32	38
46	33	37
47	34	37
48	35	36
49	35	35
50	36	35
51	37	34
52	37	33
53	38	32
54	39	32
55	39	31
56	40	30
57	41	30
58	41	29
59	42	28
60	43	27
61	43	26
62	44	26
63	45	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	18
73	51	18
74	52	17
75	53	16
76	53	16
77	54	15
78	54	14
79	55	13
80	56	13
81	56	12
82	57	11
83	57	11
84	58	10
85	58	9
86	59	8
87	60	8
88	60	7
89	61	6
90	61	6
91	62	5
92	63	4
93	63	4
94	64	3
95	65	2
96	65	2
97	66	1
98	66	0
99	67	0
